Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Tampa Bay Buccaneers,999843,434855,564988,73038,56552,62571,61893,Bye,72665,53682,45134,73513,52667,75863,50436,52568,53495,70031,92851,52884,,2018
Tennessee Titans,1092094,516161,575933,65184,62372,64015,69013,68202,64441,84301,Bye,90466,69363,57401,71826,60904,60344,74538,60746,68978,,2018
Washington Commanders,1043167,488227,554940,61613,57013,59827,Bye,73028,60482,66301,77537,62386,52667,61593,92076,69696,57437,67577,60746,63188,,2018
Arizona Cardinals,1063084,513741,549343,60957,63137,65102,64121,69596,63999,73736,Bye,70133,64639,71680,63891,63986,64153,71026,63850,69078,,2017
Atlanta Falcons,1123058,575681,547377,61857,70826,63240,71273,Bye,70593,65878,77562,74244,73761,69026,71036,71185,72866,62382,73188,74141,,2017
Baltimore Ravens,1088056,564709,523347,55254,70605,84592,71126,54980,70616,66751,70408,67322,Bye,77945,70357,70500,60069,56434,70590,70507,,2017
Buffalo Bills,1040917,534200,506717,68751,74122,68865,71273,52367,Bye,68561,69599,77562,67501,25015,74929,68499,60222,62202,65878,65571,,2017
Carolina Panthers,1133961,588942,545019,70178,74122,73775,65878,64288,74373,61256,58545,74244,72790,Bye,77562,73171,73728,74447,71463,74141,,2017
Chicago Bears,1021219,488137,533082,61857,56640,61172,78362,61834,70616,61256,73192,Bye,61285,60635,69596,61302,52002,65872,58796,66802,,2017
Cincinnati Bengals,978253,425937,552316,55254,52942,78323,67431,52367,Bye,65363,57901,60720,67432,75707,51710,56029,52002,66833,47732,70507,,2017
Cleveland Browns,968007,511060,456947,67431,70605,63351,67431,62032,71815,59061,74237,Bye,64646,57003,51710,25320,67431,56434,58796,50704,,2017
Dallas Cowboys,1309211,741775,567436,93183,76919,65102,91869,93329,Bye,70133,78428,93273,73761,93247,93012,91712,78125,55372,92150,69596,,2017
Denver Broncos,1106590,610846,495744,76324,76919,68865,76909,Bye,76721,25388,76573,69596,76820,75707,53930,65092,75518,63411,72889,75928,,2017
Detroit Lions,1046765,513100,533665,60957,77004,63240,66730,64288,73117,Bye,64983,77575,64646,60635,66613,70500,60372,65872,47732,62501,,2017
Green Bay Packers,1183556,624742,558814,78381,70826,78323,78362,93329,66848,78380,Bye,77575,61285,77945,62147,77684,67431,74447,78092,62501,,2017
Houston Texans,1080447,574197,506250,71710,52942,65878,71804,71835,71815,Bye,69025,71709,60032,71680,70357,62758,71802,64701,71842,60557,,2017
Indianapolis Colts,1022042,507525,514517,60128,63137,63351,68872,65612,63888,63104,57901,71709,66146,Bye,62207,61207,60222,63411,70590,60557,,2017
Jacksonville Jaguars,1049568,514427,535141,71710,61709,84592,77562,66237,56232,63104,Bye,60720,60835,57003,63891,61207,64431,64701,70133,65501,,2017
Kansas City Chiefs,1134166,592851,541315,65878,74971,25386,74587,71835,76994,55090,76573,93273,Bye,76363,74929,77562,74461,75011,65325,75928,,2017
Los Angeles Chargers,783367,202687,580680,76324,25381,25386,25374,77373,54685,25388,65878,Bye,60835,25015,93012,25320,25393,75011,77562,25430,,2017
Los Angeles Rams,1062261,507136,555125,60128,56612,70178,91869,60745,56232,73736,Bye,76877,60032,66809,62006,63986,67752,69077,60097,66125,,2017
Miami Dolphins,1051161,541022,510139,Bye,25381,77562,84423,65135,70593,65025,70408,65139,72790,65089,65878,65092,65548,62202,65325,65571,,2017
Minnesota Vikings,1099905,533769,566136,66606,65971,66390,66730,61834,66848,66751,74237,Bye,74476,66809,66613,71185,73728,66833,78092,66802,,2017
New England Patriots,1099028,527024,572004,65878,73168,65878,65878,64476,77562,65878,65878,Bye,76820,77357,65878,68499,65548,68574,65878,65878,,2017
New Orleans Saints,1146046,585113,560933,66606,73168,73775,84423,Bye,73117,78380,73192,73121,67501,73138,62006,73171,72866,73018,73188,55376,,2017
New York Giants,1183037,617434,565603,93183,77004,69596,63916,77373,76721,78527,Bye,76877,70133,76363,73210,54994,78125,76896,63850,76269,,2017
New York Jets,1143358,620496,522862,68751,54729,77562,77562,62032,77562,65025,77562,77562,57911,Bye,77562,77562,75518,73018,77562,65878,,2017
Oakland Raiders,988483,461137,527346,69089,54729,77123,76909,54980,54685,55090,69599,65139,Bye,77357,53930,54994,74461,55372,69596,25430,,2017
Philadelphia Eagles,1117141,556768,560373,78685,74971,69596,25374,69596,74373,69596,69596,69596,Bye,93247,69596,69075,67752,76896,69596,69596,,2017
Pittsburgh Steelers,1035491,499768,535723,67431,65971,61172,71126,66237,76994,65363,64983,Bye,66146,60703,62147,56029,60069,68574,71842,50704,,2017
San Francisco 49ers,1104010,561155,542855,70178,68729,70178,64121,65612,75568,70133,69596,70133,70133,Bye,70134,61302,71802,70133,70133,66125,,2017
Seattle Seahawks,1129943,551809,578134,78381,68729,69127,68872,60745,Bye,78527,69025,68927,64639,69026,70134,69075,64431,69077,92150,69078,,2017
Tampa Bay Buccaneers,1036961,479618,557343,Bye,56640,66390,63916,64476,63999,68561,58545,73121,57911,65089,71036,77684,60372,62382,71463,55376,,2017
Tennessee Titans,1040119,525214,514905,69089,61709,69127,71804,65135,63888,59061,Bye,67322,67432,60703,62207,62758,64153,70133,60097,65501,,2017
Washington Commanders,1137639,601405,536234,78685,56612,77123,74587,Bye,75568,69596,78428,68927,74476,73138,73210,91712,25393,71026,72889,76269,,2017
Arizona Cardinals,1083135,518652,564483,64864,64230,68647,64622,70178,64709,65089,74088,Bye,65127,66808,69233,64939,65750,65072,69050,80729,,2016
Atlanta Falcons,1116392,559998,556394,69382,54081,73003,70508,76802,69071,69832,70165,57797,69596,Bye,69233,69879,82495,70164,73549,70835,,2016
Baltimore Ravens,1134133,568823,565310,71104,67431,60127,71152,71318,78487,78160,Bye,71286,70921,93056,70903,70916,66829,71223,66276,54944,,2016
Buffalo Bills,1098702,548073,550629,71104,70256,68647,66829,83679,70003,65658,70442,69084,Bye,61356,67849,54759,69657,66529,64690,78160,,2016
Carolina Panthers,1159680,590343,569337,76843,74143,73813,70508,73425,73138,Bye,74088,86109,74181,73288,54909,69104,73856,76689,73549,62037,,2016
Chicago Bears,1060607,482951,577656,71933,62268,90554,60841,66622,61054,78217,60422,Bye,62898,78898,59494,59782,61726,61137,57953,66808,,2016
Cincinnati Bengals,1088770,508071,580699,78160,65072,63850,60834,91653,66829,65047,84488,Bye,76218,61356,70903,55456,60028,62096,71836,54944,,2016
Cleveland Browns,1044825,514489,530336,69596,67431,65176,76249,67431,60897,65047,67431,67431,70921,67431,60034,Bye,60028,66529,57272,55921,,2016
Dallas Cowboys,1322087,740318,581769,92867,80612,90554,70178,91653,78481,Bye,93103,67431,67737,93056,93099,66860,80874,93101,92885,69596,,2016
Denver Broncos,1133943,614193,519750,76843,76379,63850,60375,76802,58904,76865,76756,54957,73138,Bye,76819,63075,68780,76893,76671,76836,,2016
Detroit Lions,1075305,486342,588963,65566,58466,78411,60841,58047,56018,60461,71882,66807,Bye,61486,63793,73137,61726,79434,92885,66345,,2016
Green Bay Packers,1169215,625727,543488,63179,66813,78411,Bye,78401,78481,78217,70165,78437,69116,77137,69596,77867,78057,61137,77856,66345,,2016
Houston Texans,1132210,574947,557263,71933,71890,66829,71815,66683,71891,76865,71882,Bye,62091,76473,71897,77867,65250,71803,71836,65205,,2016
Indianapolis Colts,1100210,524393,575817,65566,76379,64747,83764,66622,71891,65470,65417,78437,Bye,65048,66583,78160,65250,66820,54896,65160,,2016
Jacksonville Jaguars,1031602,517172,514430,63179,52165,60127,83764,Bye,61054,62614,61619,73294,62091,61486,67849,63075,62701,71803,59621,65160,,2016
Kansas City Chiefs,1115214,586624,528590,73238,71890,71587,61278,Bye,54211,76282,65417,73294,74181,72277,76819,69879,75191,68084,76671,54915,,2016
Los Angeles Rams,1198268,665318,532950,70178,91046,55009,64622,83679,56018,74121,Bye,86109,78160,83483,73067,66829,82495,69067,83656,80729,,2016
Miami Dolphins,1073132,524101,549031,69012,66829,65176,60834,64425,65351,65658,Bye,65722,55107,83483,65856,70916,65750,78160,64690,66163,,2016
Minnesota Vikings,1084502,534289,550213,63816,66813,73813,66690,66683,Bye,69596,60422,66807,78216,66808,63793,66860,62701,66820,77856,66808,,2016
New England Patriots,1094772,534632,560140,64864,66829,66829,66829,67431,66829,66009,70442,Bye,66829,70178,78160,66829,66829,76893,66829,66163,,2016
New Orleans Saints,1141039,584876,556163,73028,77727,73003,60641,Bye,73138,76282,73188,70178,73138,73288,73067,73137,62140,65072,73177,70835,,2016
New York Giants,1217320,630315,587005,92867,77727,78368,66690,78401,78487,74121,Bye,80309,76218,78898,60034,65825,80874,79434,69596,79471,,2016
New York Jets,1168377,625280,543097,78160,70256,71587,78160,66385,64709,78160,67431,65722,78160,Bye,78160,78160,70178,78160,66829,78160,,2016
Oakland Raiders,1009172,458561,550611,73028,54081,62370,71152,54275,54211,62614,61068,54957,Bye,76473,54909,54759,75191,68352,54896,76836,,2016
Philadelphia Eagles,1125298,556768,568530,69596,62268,69596,Bye,58047,78934,69596,93103,80309,69596,69190,69596,55456,69596,71223,69596,69596,,2016
Pittsburgh Steelers,1065627,514503,551124,79124,65072,69596,61278,66385,65351,66009,Bye,71286,67737,67431,66583,65825,69657,62096,66276,55921,,2016
San Diego Chargers,998070,456197,541873,73238,52165,64747,60641,54275,58904,69832,76756,52281,55107,Bye,71897,53832,73856,68352,57272,54915,,2016
San Francisco 49ers,1119165,561424,557741,70178,74143,69010,70178,70178,70003,70178,Bye,70178,65127,70178,65856,59782,70178,70164,83656,70178,,2016
Seattle Seahawks,1138809,552588,586221,69012,91046,69010,78160,Bye,69071,65089,73188,69084,66829,69190,63674,69104,78057,69067,69050,70178,,2016
Tampa Bay Buccaneers,1054600,484998,569602,69382,64230,55009,60375,73425,Bye,70178,61068,57797,62898,72277,63674,53832,62140,93101,73177,62037,,2016
Tennessee Titans,1016507,517273,499234,63816,58466,62370,71815,64425,60897,65470,61619,52281,69116,65048,59494,Bye,68780,68084,59621,65205,,2016
Washington Commanders,1206654,626432,580222,79124,80612,78368,76249,71318,78934,60461,84488,Bye,78216,77137,93099,64939,69596,76689,57953,79471,,2016
Arizona Cardinals,1028446,513487,514959,62903,62351,63663,63146,60816,63846,64722,67431,Bye,69005,64745,70799,51115,64784,69596,64878,64646,,2015
Atlanta Falcons,1134671,562845,571826,70516,77678,90345,69904,70178,73018,63329,70524,70799,Bye,70433,70610,58221,74420,64016,70981,69699,,2015
Baltimore Ravens,1083919,568018,515901,76798,53500,70970,63929,71046,70799,64722,70829,Bye,70837,71105,64380,64519,71179,70791,71261,57254,,2015
Buffalo Bills,1140809,559047,581762,70319,70858,64869,70677,65670,69593,84021,Bye,70214,78160,66829,72493,68544,69596,80124,70172,68670,,2015
Carolina Panthers,1157689,592454,565235,60733,73254,73402,57468,Bye,69020,74194,74136,74461,63591,74418,90909,73097,74420,79436,70981,74169,,2015
Chicago Bears,1020065,496287,523778,62442,62351,69002,62409,75799,57648,Bye,62311,68033,58653,62483,78488,62088,61026,52421,63734,61177,,2015
Cincinnati Bengals,1028118,491118,537000,54500,57579,70970,57498,65004,69593,Bye,64750,65816,61381,64745,61022,64775,65564,70799,76868,57254,,2015
Cleveland Browns,1062262,529488,532774,78160,67431,67431,63710,71046,67431,51523,67431,65816,64402,Bye,64380,64775,63916,69002,69115,66693,,2015
Dallas Cowboys,1312509,731672,580837,93579,69296,90345,73009,93054,Bye,80319,91486,91827,64113,65115,90909,80444,78369,90345,70172,90127,,2015
Denver Broncos,1141878,615381,526497,76798,76404,62920,77029,54500,67431,Bye,77075,66894,76973,62483,76970,68631,76824,67234,76868,76844,,2015
Detroit Lions,1025745,490782,534963,66093,52319,62920,69005,60816,57648,60231,83624,Bye,78526,60202,64445,63207,51202,73017,61313,61177,,2015
Green Bay Packers,1147786,627308,520478,62442,78433,78214,70799,78432,78434,Bye,77075,74461,78526,52529,78488,63207,78369,55087,64878,78412,,2015
Houston Texans,1098814,574159,524655,71776,73254,71718,69904,71732,58085,65251,71630,Bye,61381,71718,71778,68544,71908,66083,62153,71899,,2015
Indianapolis Colts,1067476,528381,539095,70319,65220,65920,65609,71732,66726,66420,74136,66894,Bye,70433,65696,58701,62372,66083,65482,65733,,2015
Jacksonville Jaguars,1056511,514268,542243,60733,65443,66829,65609,58490,58085,84021,Bye,78160,70837,60121,59477,57355,62372,64016,73064,71899,,2015
Kansas City Chiefs,1130807,602228,528579,71776,76404,78214,57498,75799,52480,76365,83624,Bye,76973,65837,72493,55010,72314,70791,69115,76114,,2015
Miami Dolphins,1093320,537548,555772,76512,65443,64869,83986,Bye,62342,65251,66829,70214,69596,65115,78160,64519,65408,66676,65482,62918,,2015
Minnesota Vikings,958016,419440,538576,70499,52319,52400,77029,Bye,52480,60231,62311,52406,54700,52529,70610,52430,64784,52421,52455,78412,,2015
New England Patriots,1136287,534632,601655,66829,70858,66829,Bye,93054,66726,66829,66829,66829,81061,66829,76970,66829,71908,66829,78160,62918,,2015
New Orleans Saints,1135027,584305,550722,62903,73006,73402,73009,69296,73018,66420,73019,73075,75086,Bye,71778,73097,62138,73017,73064,69699,,2015
New York Giants,1198163,632011,566152,93579,77678,76081,70677,78515,69296,80319,73019,64351,81061,Bye,77367,80898,65408,79436,52455,78023,,2015
New York Jets,1207646,625280,582366,78160,65220,78160,83986,Bye,78160,66829,54700,78160,78160,71718,78160,80898,78160,90345,78160,68670,,2015
Oakland Raiders,970514,436397,534117,54500,53500,67431,62409,54500,Bye,67542,54700,65520,54700,60202,58075,55010,76824,55087,54400,76114,,2015
Philadelphia Eagles,1154629,555868,598761,70516,69296,78160,74767,69296,69296,74194,Bye,91827,69596,69596,64445,66829,69596,69596,69596,78023,,2015
Pittsburgh Steelers,1050712,514854,535858,66829,66472,52433,63929,67658,63846,76365,64750,65520,64402,Bye,69055,58701,65564,67234,71261,66693,,2015
San Diego Chargers,1056457,534180,522277,66093,57579,52400,63710,67658,78434,67542,70829,68033,Bye,65837,59477,68631,72314,66676,54400,76844,,2015
San Francisco 49ers,1082259,566092,516167,70499,66472,63663,70799,78515,70799,70799,51207,70799,Bye,68993,70799,62088,63916,70799,61313,70799,,2015
Seattle Seahawks,1097931,552162,545769,51792,78433,69002,69005,65004,69020,70799,91486,Bye,69005,68993,69055,52430,71179,69002,69080,64646,,2015
St. Louis Rams,957670,419220,538450,51792,72460,52433,63146,78432,Bye,51523,51207,52406,58653,71105,61022,51115,51202,51295,69080,70799,,2015
Tampa Bay Buccaneers,1041376,492460,548916,63945,73006,71718,57468,58490,Bye,72912,70524,64351,64113,69596,65696,58221,62138,51295,63734,74169,,2015
Tennessee Titans,1045359,498435,546924,63945,67431,65920,Bye,65670,62342,63329,71630,73075,63591,60121,58075,57355,78160,66829,62153,65733,,2015
Washington Redskins,1196087,609672,586415,76512,72460,76081,74767,70178,78160,72912,Bye,66829,75086,74418,77367,80444,61026,80124,69596,90127,,2015
Arizona Cardinals,1053326,495835,557491,61292,78344,61572,Bye,76895,61139,52101,61789,85688,61363,62487,68327,69557,62387,55880,63806,70699,,2014
Atlanta Falcons,1121026,577047,543979,70706,58574,70318,52173,80307,70712,71184,83532,Bye,57751,73314,70046,69557,77512,71161,73164,71015,,2014
Baltimore Ravens,1096129,568353,527776,70925,71181,67407,71218,65258,60041,71184,55711,63971,70914,Bye,73373,71060,70244,70801,71771,71070,,2014
Buffalo Bills,1085974,540180,545794,62425,69954,68611,71756,62775,70185,68477,78160,Bye,68119,71573,56044,68576,76913,70214,53436,68756,,2014
Carolina Panthers,1123313,588861,534452,62442,73586,73945,71218,73659,57053,78106,74042,73663,69596,73314,Bye,52016,73006,72842,73810,71015,,2014
Chicago Bears,1050366,493449,556917,62425,70799,78160,61736,73659,70712,62413,68756,Bye,78292,61792,61109,64175,61558,60996,61420,52364,,2014
Cincinnati Bengals,1025166,485628,539538,70925,58574,56743,Bye,68756,57053,66539,55711,60057,65871,73073,71777,56340,65512,67431,66107,64697,,2014
Cleveland Browns,1083855,539400,544455,64598,67407,67407,Bye,69143,67431,61341,67431,67431,65871,67431,70046,68576,67431,67431,73810,71070,,2014
Dallas Cowboys,1293046,720558,572488,91174,69143,58739,91176,91159,68432,91028,87055,85688,83603,Bye,80520,91379,61558,69596,91899,80897,,2014
Denver Broncos,1156767,615517,541250,76939,76900,68447,Bye,76895,78160,77047,76907,68756,54803,59401,76987,76894,76913,68682,66107,76929,,2014
Detroit Lions,1062760,504198,558562,64401,73586,62418,78160,62775,52213,63271,83532,Bye,63179,62487,68756,64175,61489,62490,61420,78408,,2014
Green Bay Packers,1148560,625114,523446,68424,78041,62418,61736,78054,70875,78106,73146,Bye,78292,78270,52386,78431,77512,70214,64247,78408,,2014
Houston Texans,1115983,574132,541851,71770,54063,77462,71756,91159,71787,56375,69143,71780,Bye,67431,71777,71714,61070,65148,71771,71777,,2014
Indianapolis Colts,1101258,523004,578254,76939,64871,60601,64757,65258,71787,66539,62479,77975,Bye,66751,64328,65352,67431,65148,91899,69143,,2014
Jacksonville Jaguars,1066627,524335,542292,69596,80037,60601,56553,66198,69143,61341,65633,60057,83603,Bye,64328,64687,61070,70801,61202,71777,,2014
Kansas City Chiefs,1127251,599743,527508,73569,76900,70313,76613,70799,Bye,65260,75972,74127,68119,76463,52865,76894,62387,72153,60865,73952,,2014
Miami Dolphins,1128798,560280,568518,70630,69954,70313,83436,Bye,70875,62413,65633,70222,63179,71573,76987,78160,70244,68756,66203,70220,,2014
Minnesota Vikings,940423,417906,522517,55919,52350,73005,52173,78054,52213,68477,56577,52252,Bye,61792,52386,52016,52152,62490,66203,52364,,2014
New England Patriots,1111983,550048,561935,70630,52350,68756,76613,68756,70185,68756,68756,68756,Bye,66751,68756,78431,68815,68756,78160,68756,,2014
New Orleans Saints,1133987,584900,549087,70706,67407,73005,91176,73004,Bye,63271,73146,73663,73129,73073,73373,61916,73006,60996,73164,59952,,2014
New York Giants,1195369,631738,563631,64401,78344,77462,80573,80307,69596,91028,Bye,77975,68352,80352,80520,64687,69143,77628,55851,79150,,2014
New York Jets,1157234,625280,531954,78160,78041,78160,78160,63471,78160,68756,78160,74127,78160,Bye,56044,78160,52152,69143,78160,70220,,2014
Oakland Raiders,1013469,459333,554136,78160,54063,68756,83436,Bye,53329,52101,67431,68337,54803,66720,52865,55650,55300,72153,53436,76929,,2014
Philadelphia Eagles,1153703,556768,596935,69596,64871,69596,70799,69596,69596,Bye,61789,71780,69596,78270,69596,91379,69596,69596,78897,79150,,2014
Pittsburgh Steelers,1060542,497811,562731,64598,71181,73945,62910,66198,67431,56375,62479,63971,78160,69143,Bye,61916,65512,71161,60865,64697,,2014
San Diego Chargers,1069529,523457,546072,61292,67916,68611,56553,63471,53329,65260,76907,70222,Bye,66720,66040,71060,68815,68682,70699,73952,,2014
San Francisco 49ers,1130143,566192,563951,91174,70799,61572,70799,70799,56851,77047,Bye,70799,73129,80352,70799,70799,55300,68526,70699,70699,,2014
Seattle Seahawks,1107297,547298,559999,68424,67916,68447,Bye,79522,68432,57855,74042,68337,68352,76463,68327,70799,69596,68526,63806,68453,,2014
St. Louis Rams,999412,456146,543266,55919,59923,58739,Bye,69596,56851,57855,75972,70799,61363,59401,66040,55650,71120,55880,55851,68453,,2014
Tampa Bay Buccaneers,1023818,477273,546545,62442,59923,70318,62910,73004,60041,Bye,56577,67431,57751,77442,61109,56340,61489,72842,64247,59952,,2014
